name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
Électricité Générale - Indre | Ricci Électricité Rénovation,electricien,06 03 42 98 25,Bourges,Cher,centre,Centre-Val de Loire,"5,0",2,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/%C3%89lectricit%C3%A9+G%C3%A9n%C3%A9rale+-+Indre+%7C+Ricci+%C3%89lectricit%C3%A9+R%C3%A9novation/data=!4m7!3m6!1s0x12cb6e5fa59fb157:0x5d52bfc8756cd6d!8m2!3d47.6439675!4d1.5907082!16s%2Fg%2F1xpt122y!19sChIJV7GfpV9uyxIRbc1Wh_wr1QU?authuser=0&hl=fr&rclk=1,88000320700011,2019-11-29,6,actif,68.20B
F.L EOS ELEC,electricien,07 88 28 80 66,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",2,Ouvert 24h,oui,31 Rue Pierre Dupont,https://www.google.com/maps/place/F.L+EOS+ELEC/data=!4m7!3m6!1s0x4cdc91f13bb2a91:0xa9fa42884ae93520!8m2!3d47.236129!4d2.0451011!16s%2Fg%2F11xlgdynym!19sChIJkSq7Ex_JzQQRIDXpSohC-qk?authuser=0&hl=fr&rclk=1,98897436600011,2025-07-08,0,actif,43.21A
Dominique Josserand,electricien,02 48 71 12 65,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",2,Ouvre à 08:00 ven.,non,29 Bd de la Nation,https://www.google.com/maps/place/Dominique+Josserand/data=!4m7!3m6!1s0x47fad98e6a84ec95:0x17c40c2540e9f39e!8m2!3d47.2148642!4d2.0579026!16s%2Fg%2F11fthksvdx!19sChIJleyEao7Z-kcRnvPpQCUMxBc?authuser=0&hl=fr&rclk=1,49073491000055,2006-07-03,19,actif,43.21A
Deschatrette Electricité Services,electricien,02 54 22 15 49,Chateauroux,Indre,centre,Centre-Val de Loire,"4,5",2,,non,87 Rue Ampère,https://www.google.com/maps/place/Deschatrette+Electricit%C3%A9+Services/data=!4m7!3m6!1s0x47fba7580675ccd7:0xbde2aeb611ade919!8m2!3d46.8124911!4d1.7136184!16s%2Fg%2F1tfgj5cq!19sChIJ18x1Blin-0cRGemtEbau4r0?authuser=0&hl=fr&rclk=1,88535043900018,2020-05-12,6,actif,47.99A
Louis Philippe,electricien,02 48 71 38 41,Vierzon,Cher,centre,Centre-Val de Loire,"4,0",2,,non,25 Rue Gustave Flourens,https://www.google.com/maps/place/Louis+Philippe/data=!4m7!3m6!1s0x47fad9775f02c3f7:0x353e408b3c3854c9!8m2!3d47.2310201!4d2.055211!16s%2Fg%2F1td7h2n4!19sChIJ98MCX3fZ-kcRyVQ4PItAPjU?authuser=0&hl=fr&rclk=1,43790155600013,2001-01-01,25,radie,43.21A
Services A Dom !,electricien,02 48 65 11 34,Bourges,Cher,centre,Centre-Val de Loire,"3,0",2,,non,,https://www.google.com/maps/place/Services+A+Dom+!/data=!4m7!3m6!1s0x47fa959fb40bfffd:0x9549e9a1581e2c64!8m2!3d47.0948073!4d2.3536352!16s%2Fg%2F11f54zztqv!19sChIJ_f8LtJ-V-kcRZCweWKHpSZU?authuser=0&hl=fr&rclk=1,51369658300097,2009-07-13,16,actif,88.91A
TECHELEC~BTI,electricien,06 10 99 56 55,Bourges,Cher,centre,Centre-Val de Loire,"3,0",2,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/TECHELEC~BTI/data=!4m7!3m6!1s0x2ab90ffb58efbfc7:0xb6572169929c1666!8m2!3d47.0018363!4d2.216428!16s%2Fg%2F11rz7p87bh!19sChIJx7_vWPsPuSoRZhackmkhV7Y?authuser=0&hl=fr&rclk=1,81406572800010,2015-11-01,10,actif,43.21A
Masset Philippe,electricien,02 54 22 31 09,Chateauroux,Indre,centre,Centre-Val de Loire,"5,0",1,,non,,https://www.google.com/maps/place/Masset+Philippe/data=!4m7!3m6!1s0x47fb09f46fdcb905:0xd200d260ad320af3!8m2!3d46.8289485!4d1.7089617!16s%2Fg%2F1tgj__78!19sChIJBbncb_QJ-0cR8woyrWDSANI?authuser=0&hl=fr&rclk=1,31442325200027,1978-01-01,48,actif,96.09Z
FHCBF,electricien,07 69 07 26 19,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",1,Ouvre à 08:00 ven.,non,34 Rue Robespierre,https://www.google.com/maps/place/FHCBF/data=!4m7!3m6!1s0x651bc7521392c247:0x2bba3306d331086e!8m2!3d47.2207373!4d2.0984701!16s%2Fg%2F11xsf7z8_x!19sChIJR8KSE1LHG2URbggx0wYzuis?authuser=0&hl=fr&rclk=1,,,,inconnu,
Laurier Jean-Jacques,electricien,02 48 75 09 25,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",1,,non,53 Rue Emile Desforges,https://www.google.com/maps/place/Laurier+Jean-Jacques/data=!4m7!3m6!1s0x47fadbc98affc3d7:0xfc9e4112ade3e130!8m2!3d47.2292852!4d2.0853963!16s%2Fg%2F1tfqq9mh!19sChIJ18P_isnb-kcRMOHjrRJBnvw?authuser=0&hl=fr&rclk=1,77507236600013,1964-01-01,62,radie,33.14Z
Bati 18,electricien,02 48 71 88 10,Vierzon,Cher,centre,Centre-Val de Loire,"5,0",1,,non,,https://www.google.com/maps/place/Bati+18/data=!4m7!3m6!1s0x47fad948ef003d8d:0x7df63fa1d2b59fd2!8m2!3d47.204101!4d2.046373!16s%2Fg%2F1tg152jm!19sChIJjT0A70jZ-kcR0p-10qE_9n0?authuser=0&hl=fr&rclk=1,33065129000026,1984-07-22,41,actif,41.20B
Koziol Edward,electricien,02 48 26 48 08,Bourges,Cher,centre,Centre-Val de Loire,"4,0",1,,non,Koziol Edward,https://www.google.com/maps/place/Koziol+Edward/data=!4m7!3m6!1s0x47fa94db4e33f7af:0x487b4e409ceebef2!8m2!3d47.0645274!4d2.3221469!16s%2Fg%2F1v3gr80l!19sChIJr_czTtuU-kcR8r7unEBOe0g?authuser=0&hl=fr&rclk=1,37853624700018,1990-07-09,35,radie,43.21A
Dindeleux Alain,electricien,02 48 21 21 00,Bourges,Cher,centre,Centre-Val de Loire,"2,0",1,,non,,https://www.google.com/maps/place/Dindeleux+Alain/data=!4m7!3m6!1s0x47fa9681e015e6d5:0xf0ff18668b0fb752!8m2!3d47.0685814!4d2.3921547!16s%2Fg%2F1tghchj8!19sChIJ1eYV4IGW-kcRUrcPi2YY__A?authuser=0&hl=fr&rclk=1,51841518700013,2009-10-01,16,actif,43.21A
"BELHASMART Electricien, Alarme et vidéo surveillance",electricien,06 51 88 16 77,Chateauroux,Indre,centre,Centre-Val de Loire,,0,Ouvre à 08:00 ven.,non,66 Rue de La Margotière,"https://www.google.com/maps/place/BELHASMART+Electricien,+Alarme+et+vid%C3%A9o+surveillance/data=!4m7!3m6!1s0x47fba785f8fd2bf7:0xe5a90efd39dbfcfc!8m2!3d46.7857082!4d1.7067403!16s%2Fg%2F11rk5n2y7b!19sChIJ9yv9-IWn-0cR_PzbOf0OqeU?authuser=0&hl=fr&rclk=1",,,,inconnu,
Lemaigre Patrick SARL,electricien,02 54 08 41 89,Chateauroux,Indre,centre,Centre-Val de Loire,,0,,non,,https://www.google.com/maps/place/Lemaigre+Patrick+SARL/data=!4m7!3m6!1s0x47fba0b44c69bcb1:0xb0feab48271d2dd1!8m2!3d46.7959707!4d1.6993016!16s%2Fg%2F1tj88szl!19sChIJsbxpTLSg-0cR0S0dJ0ir_rA?authuser=0&hl=fr&rclk=1,45146723700017,2004-01-01,22,radie,43.21A
L'AIGLE HABITAT,electricien,07 85 59 99 48,Chateauroux,Indre,centre,Centre-Val de Loire,,0,,non,,https://www.google.com/maps/place/L%27AIGLE+HABITAT/data=!4m7!3m6!1s0x47fba72de755336b:0x3b2b70a656410dc4!8m2!3d46.7821097!4d1.7066603!16s%2Fg%2F12jrgjhxg!19sChIJazNV5y2n-0cRxA1BVqZwKzs?authuser=0&hl=fr&rclk=1,99444565800010,2025-11-01,0,actif,68.20B
Forclum Val de Loire,electricien,02 54 27 51 38,Chateauroux,Indre,centre,Centre-Val de Loire,,0,,non,10 Bd d'Anvaux,https://www.google.com/maps/place/Forclum+Val+de+Loire/data=!4m7!3m6!1s0x47fb079e292683f5:0x8aabbf867185f749!8m2!3d46.8075809!4d1.7296796!16s%2Fg%2F1tnjhykg!19sChIJ9YMmKZ4H-0cRSfeFcYa_q4o?authuser=0&hl=fr&rclk=1,38877940700013,1992-10-06,33,actif,43.21A
Bravo Jose,electricien,02 48 70 85 60,Bourges,Cher,centre,Centre-Val de Loire,,0,,non,,https://www.google.com/maps/place/Bravo+Jose/data=!4m7!3m6!1s0x47fa9628e5255e63:0xa1f377c4421a06d5!8m2!3d47.1075704!4d2.4292759!16s%2Fg%2F1tglgp89!19sChIJY14l5SiW-kcR1QYaQsR386E?authuser=0&hl=fr&rclk=1,33364848300027,1985-10-01,40,radie,43.21A
Brisset Maurice Sarl,electricien,02 48 50 41 13,Bourges,Cher,centre,Centre-Val de Loire,,0,,non,,https://www.google.com/maps/place/Brisset+Maurice+Sarl/data=!4m7!3m6!1s0x47fa951ae7bef8bd:0xb16fef0fbd298c21!8m2!3d47.0822407!4d2.3388504!16s%2Fg%2F1w6r7msj!19sChIJvfi-5xqV-kcRIYwpvQ_vb7E?authuser=0&hl=fr&rclk=1,44766840100014,2003-04-01,23,actif,86.90A
BGE,electricien,02 48 64 74 88,Bourges,Cher,centre,Centre-Val de Loire,,0,Ouvre à 08:00 ven.,non,,https://www.google.com/maps/place/BGE/data=!4m7!3m6!1s0x47fa93dca515c6ff:0xeaadfdbf0c7d2b8!8m2!3d47.0099856!4d2.377484!16s%2Fg%2F1w97trr7!19sChIJ_8YVpdyT-kcRuNLH8Nvfqg4?authuser=0&hl=fr&rclk=1,50206723400026,2007-08-06,18,actif,82.99Z
Segb,electricien,02 48 75 30 83,Vierzon,Cher,centre,Centre-Val de Loire,,0,,non,Rue Marcel Paul,https://www.google.com/maps/place/Segb/data=!4m7!3m6!1s0x47fadbb4b0dd7ed9:0x99e2fcd1e1850e69!8m2!3d47.2338856!4d2.0889368!16s%2Fg%2F1w6r7mt0!19sChIJ2X7dsLTb-kcRaQ6F4dH84pk?authuser=0&hl=fr&rclk=1,33466658300037,1986-02-05,40,actif,27.32Z
Tripeau Pascal,electricien,02 48 51 59 78,Vierzon,Cher,centre,Centre-Val de Loire,,0,,non,6 Rue des Terres de l'Étoile,https://www.google.com/maps/place/Tripeau+Pascal/data=!4m7!3m6!1s0x47fac48ee6594a1b:0xffd04ed7b30bd768!8m2!3d47.2060552!4d2.1844486!16s%2Fg%2F1tfl901c!19sChIJG0pZ5o7E-kcRaNcLs9dO0P8?authuser=0&hl=fr&rclk=1,40238729400026,1995-10-02,30,C,43.21A
Aaz Plomberie,plombier,02 36 08 93 65,Bourges,Cher,centre,Centre-Val de Loire,"5,0",58,Ouvre à 08:30 ven.,non,,https://www.google.com/maps/place/Aaz+Plomberie/data=!4m7!3m6!1s0x47faec4ae478f611:0x9b56484712657681!8m2!3d46.9993557!4d2.2410601!16s%2Fg%2F11b6dq1vjw!19sChIJEfZ45Ers-kcRgXZlEkdIVps?authuser=0&hl=fr&rclk=1,50878365100013,2008-10-01,17,C,43.22A
suntech,plombier,02 54 49 46 01,Issoudun,Indre,centre,Centre-Val de Loire,"4,2",39,Ouvre à 09:00 ven.,non,1 Bd Pierre Favreau,https://www.google.com/maps/place/suntech/data=!4m7!3m6!1s0x47fafd31a9b79e77:0xb73cba8b2db4ca70!8m2!3d46.9492395!4d1.987431!16s%2Fg%2F1hc17fb9r!19sChIJd563qTH9-kcRcMq0LYu6PLc?authuser=0&hl=fr&rclk=1,43020246500026,2000-02-07,26,actif,43.22B
