name,metier,phone,ville,departement,region,region_label,rating,reviews,hours_status,is_open_now,address,maps_url,siret,created_at,age_years,legal_status,naf_code
Serres Yannick,plombier,05 65 41 04 78,Saint-Projet,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",4,,non,"Les Camps, 46300 Saint-Projet","https://www.google.com/maps/place/Serres+Yannick/@44.735205,1.0863979,11z/data=!4m10!1m2!2m1!1splombier+Gourdon!3m6!1s0x12acbf19c1ebea85:0xf3c414a49618537!8m2!3d44.7452!4d1.4881861!15sChBwbG9tYmllciBHb3VyZG9ukgESaGVhdGluZ19jb250cmFjdG9y4AEA!16s%2Fg%2F1v4lz84l?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",53200618600011,2011-04-26,15,actif,43.22A
Symphonie Jardin,paysagiste,07 67 96 98 53,Lattes,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",9,Fermé · Ouvre à 13:00,non,"26 Rue du Cinsault, 34970 Lattes","https://www.google.com/maps/place/Symphonie+Jardin/@43.616654,3.8096356,12z/data=!4m10!1m2!2m1!1spaysagiste+Lot!3m6!1s0x12b6a531bcac02bd:0x9c951926cc6f5443!8m2!3d43.5873868!4d3.9229475!15sCg5wYXlzYWdpc3RlIExvdFoQIg5wYXlzYWdpc3RlIGxvdJIBCmxhbmRzY2FwZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXRlVFV6UmtKbkVBReABAPoBBAgAEDE!16s%2Fg%2F11kyp57xkw?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",88780322900020,2020-06-20,5,actif,81.30Z
Brindilles Et Paysages,paysagiste,06 72 98 61 80,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",1,,non,"357 Rte de Trespoux, 46000 Cahors","https://www.google.com/maps/place/Brindilles+Et+Paysages/@44.5048548,0.0700741,9z/data=!4m10!1m2!2m1!1spaysagiste+Cahors!3m6!1s0x12ac8903ab57b651:0x66d4690fec1c89c5!8m2!3d44.4353449!4d1.4072121!15sChFwYXlzYWdpc3RlIENhaG9yc5IBCmxhbmRzY2FwZXLgAQA!16s%2Fg%2F11ghpp3m43?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",83214451300013,2017-09-13,8,C,81.30Z
Marmier entretien espaces verts,paysagiste,06 43 56 92 84,,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",28,Ouvert · Ferme à 20:00,oui,,"https://www.google.com/maps/place/Marmier+entretien+espaces+verts/@44.5048548,0.0700741,9z/data=!4m10!1m2!2m1!1spaysagiste+Cahors!3m6!1s0xa002800d66d593f3:0xd8ca10b78656aed!8m2!3d44.4817946!4d1.226287!15sChFwYXlzYWdpc3RlIENhaG9yc1oTIhFwYXlzYWdpc3RlIGNhaG9yc5IBCGdhcmRlbmVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4Q01GRnJSakZZTTBwTFlXdEdVRmx1WkV0aVYxSnhaSHBDYlZJd1JSQULgAQD6AQQINRAj!16s%2Fg%2F11w9dw2127?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",44027235900025,2002-01-01,24,actif,70.10Z
Pillet Alois,paysagiste,06 49 98 40 02,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"3,7",12,,non,"5 Rue Lestieu, 46000 Cahors","https://www.google.com/maps/place/Pillet+Alois/@44.5048548,0.0700741,9z/data=!4m10!1m2!2m1!1spaysagiste+Cahors!3m6!1s0x12ac895d5030917b:0x5f7a7d10455da73a!8m2!3d44.4462151!4d1.4419956!15sChFwYXlzYWdpc3RlIENhaG9yc5IBDHRyZWVfc2VydmljZeABAA!16s%2Fg%2F11gzmygfs?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",53318071700050,2011-06-24,14,actif,81.30Z
Silence ça coupe,paysagiste,06 70 97 45 17,Cahors,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,Ouvert · Ferme à 17:00,oui,"523 Rue les Terrasses de Vaxis, 46000 Cahors","https://www.google.com/maps/place/Silence+%C3%A7a+coupe/@44.5048548,0.0700741,9z/data=!4m10!1m2!2m1!1spaysagiste+Cahors!3m6!1s0x12ac8f7b3f643a79:0xb26ea4f5832207f6!8m2!3d44.4705239!4d1.4369964!15sChFwYXlzYWdpc3RlIENhaG9yc5IBCGdhcmRlbmVy4AEA!16s%2Fg%2F11m63b6h7x?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",94042308000016,2025-01-31,1,actif,81.30Z
Galtie Nicolas,paysagiste,09 75 49 76 32,Figeac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,,non,"6 Rue de la Croix du Bataille, 46100 Figeac","https://www.google.com/maps/place/Galtie+Nicolas/@44.6149683,-2.5697173,7z/data=!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad16c85bdfb247:0x4b14d15e31b247d9!8m2!3d44.6149683!4d2.0445405!15sChFwYXlzYWdpc3RlIEZpZ2VhY5IBEmxhbmRzY2FwZV9kZXNpZ25lcuABAA!16s%2Fg%2F1td5bp1x?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",48117944800016,2005-04-04,21,actif,81.30Z
Gales Paysages,paysagiste,09 79 68 34 64,Saint-Félix,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"4,6",5,,non,"Les Cordiers, 46100 Saint-Félix","https://www.google.com/maps/place/Gales+Paysages/@44.6093755,-2.582018,7z/data=!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad14bfc8ed60e7:0xcbe353fff7783876!8m2!3d44.6227927!4d2.1271548!15sChFwYXlzYWdpc3RlIEZpZ2VhY5IBEmxhbmRzY2FwZV9kZXNpZ25lcuABAA!16s%2Fg%2F1v3g63h5?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",43876811100017,2001-07-01,24,actif,81.30Z
Beffara Elagage,paysagiste,06 87 01 57 89,Camburat,Lot,occitanie-rurale,Lot / Aveyron / Lozère,"5,0",9,Ouvert 24h/24,oui,"887 Rte du Pech, 46100 Camburat","https://www.google.com/maps/place/Beffara+Elagage/@44.6093755,-2.582018,7z/data=!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad174c4f686ea7:0xc90afc698276f9a6!8m2!3d44.6604397!4d2.0032934!15sChFwYXlzYWdpc3RlIEZpZ2VhY1oTIhFwYXlzYWdpc3RlIGZpZ2VhY5IBDHRyZWVfc2VydmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS2RuUk1WSEpuUlJBQuABAPoBBQi1ARAf!16s%2Fg%2F11t7b9c_rq?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",91787184000018,2022-08-16,3,actif,81.30Z
JFM Environnement,paysagiste,05 65 80 82 43,Figeac,Lot,occitanie-rurale,Lot / Aveyron / Lozère,,,,non,"ZA de Pech d'Alon, Font Dalon N° 2303, 46100 Figeac","https://www.google.com/maps/place/JFM+Environnement/@44.6093755,-2.582018,7z/data=!3m1!5s0x12ad16d344d15169:0x12aa29d62c4a63dd!4m10!1m2!2m1!1spaysagiste+Figeac!3m6!1s0x12ad16d344a593a5:0x39e03cf44d61bc79!8m2!3d44.6082164!4d2.0328587!15sChFwYXlzYWdpc3RlIEZpZ2VhY5IBEGZlbmNlX2NvbnRyYWN0b3LgAQA!16s%2Fg%2F11jmzr1zkm?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",79058145800011,2013-01-02,13,actif,81.30Z
